Country Name,2015,2016,2017,2018,2019,2020
Moldova,98.75606783,97.61416583,95.90938838,94.25439467,92.75609357,91.74732605
Madagascar,42.71383981,43.83283087,44.98030595,46.14393434,47.32405294,48.51353902
Mexico,61.80709226,62.51149515,63.190544,63.79477919,64.34595077,64.81560843
Macedonia,82.08667724,82.17644726,82.25622522,82.3242268,82.34314036,82.17807296
Mali,14.84433326,15.32556897,15.82651472,16.33704423,16.85591916,17.39404519
Myanmar,78.83253047,79.49439168,80.10469705,80.6894653,81.2627731,81.85330718
Montenegro,46.25717472,46.26788104,46.2730855,46.26223048,46.24743494,46.19375465
Mongolia,1.903829648,1.945445172,1.988132454,2.031774501,2.075718988,2.115133618
Mozambique,34.13520944,35.22024085,36.33032503,37.41686971,38.51267199,39.64780259
Mauritania,3.828679538,3.931202096,4.03610653,4.143506355,4.253273503,4.364610459
Malawi,179.6663343,184.6162919,189.6602355,194.8226877,200.1202482,205.5267395
Malaysia,94.56348501,95.95622584,97.32401765,98.61290823,99.84483336,101.0500472
Namibia,2.772660909,2.822033548,2.872054805,2.922032334,2.971788799,3.023355075
New Caledonia,14.74070022,14.78227571,14.81455142,14.83424508,14.83752735,14.83205689
Niger,15.89020605,16.51673088,17.16106576,17.82352412,18.5074548,19.2102621
Nigeria,202.0222284,207.1510162,212.4530968,217.8240643,223.222649,228.737667
Nicaragua,52.34001994,53.09319428,53.85185308,54.61386904,55.37580189,56.14006149
Netherlands,503.1162162,505.8008316,508.8,511.7797446,515.1432729,518.013068
Norway,14.20793848,14.33542438,14.45257626,14.54888964,14.6479975,14.76721523
Nepal,192.6077782,194.3577677,196.6056924,198.8609138,201.1335612,204.7340565
New Zealand,17.50560176,17.90323193,18.28111352,18.61152254,18.91003,19.33158634
Oman,13.54370275,14.21024233,14.67481099,14.86642003,14.8716252,14.67980291
Pakistan,273.6733318,276.9884288,280.6917484,285.0397974,289.6602325,294.7238753
Panama,53.3877361,54.32185645,55.2625877,56.15064707,57.05758965,57.89156107
Peru,23.99364297,24.32248359,24.69178594,25.15933125,25.64442266,26.01934063
Philippines,345.5457122,351.7297716,357.9786732,364.1172351,370.1941979,376.2651407
Papua New Guinea,19.1718721,19.65103785,20.12718279,20.60068675,21.0716027,21.52903767
Poland,124.0615696,124.008253,124.0237304,124.0315838,124.0255954,123.8005749
Puerto Rico,391.5706877,384.0667418,374.8913191,360.0173619,360.0556933,369.9591883
North Korea,209.7667553,210.8596545,211.9119757,212.9237522,213.8978573,214.8282286
Portugal,113.0725196,112.7163842,112.4418158,112.261936,112.2885828,112.406676
Paraguay,15.5498364,15.77300529,15.99648628,16.21779008,16.43600805,16.65918701
Qatar,210.1456049,225.8630113,236.0100087,240.7947781,244.3198433,240.2423847
Romania,86.12489569,85.63224531,85.13871262,84.63999478,84.19527121,83.73283206
Russia,8.798804045,8.813796348,8.823220738,8.822067892,8.817695994,8.797354989
Rwanda,471.9480746,483.6197406,495.7575598,507.9776246,520.2686664,532.8886096
Saudi Arabia,15.23468407,15.54469249,15.90607111,16.28985249,16.66629235,16.7452549
Sudan,20.43424946,21.07985493,21.77720985,22.4834363,23.14351874,23.79041006
Senegal,74.56594297,76.61848024,78.72951228,80.89601101,83.10798837,85.36913728
Solomon Is.,21.88853162,22.44022865,22.99514112,23.55301894,24.11550554,24.69421222
Sierra Leone,101.3407177,103.8225686,106.3669299,108.9121779,111.482793,114.0755057
El Salvador,300.7271236,301.6655405,302.4446911,302.9122587,303.0992761,303.7032336
Somalia,21.94010584,22.78325469,23.6940431,24.56577613,25.47470271,26.36053177
Serbia,81.12717814,80.70343014,80.27507432,79.8376858,79.41041619,78.88321518
Slovakia,112.8031488,112.9533694,113.1287854,113.2855865,113.4389975,113.5363353
Slovenia,102.4461092,102.5241783,102.6108719,102.9922926,103.7119346,104.4088814
Sweden,24.05826177,24.36244975,24.69294198,24.98145887,25.23766548,25.42072337
Eswatini,65.92651163,66.42581395,66.94127907,67.46674419,68.00075581,68.64273256
Syria,104.5862768,103.274258,103.3783859,105.2848826,109.4497141,113.1220117
Chad,11.22956957,11.58877462,11.9805305,12.39216169,12.80723158,13.21847284
Togo,137.4007906,140.8596065,144.3793896,147.944089,151.5553227,155.2230189
Thailand,137.5920394,138.2039911,138.7739083,139.2233201,139.5755701,139.9042142
Tajikistan,61.41698249,62.86705094,64.30956841,65.7693782,67.27432092,68.76004755
Turkmenistan,12.2708297,12.48815994,12.70057881,12.90631796,13.10497308,13.30078522
Timor-Leste,81.09031607,82.35117687,83.6069267,84.85843981,86.10880968,87.42400807
Trinidad and Tobago,284.6348928,286.4191033,288.2274854,293.3155945,296.2875244,295.9350877
Tunisia,74.39353115,75.21670314,76.0262809,76.80896627,77.55737642,78.28091529
Turkey,103.486322,105.2705768,106.6614165,107.5962527,108.4698933,109.3193197
Tanzania,59.31680176,61.41544592,63.52114699,65.57963762,67.59153195,69.65965003
Uganda,186.9008378,193.2390734,200.1151257,207.0386744,214.1885099,221.447292
Ukraine,77.94720434,77.68936629,77.38846021,77.0150466,76.60718502,76.16853469
Uruguay,19.44245229,19.50500514,19.55319392,19.58085933,19.58866987,19.592538
United States of America,350.6332868,353.1834714,355.4249482,357.3009646,358.9317567,362.3984468
Uzbekistan,71.03699501,72.28449968,73.51221549,74.80043669,76.22283256,77.68535119
Venezuela,34.61222833,34.85229182,34.65045406,33.81401621,32.84585114,32.30026983
Vietnam,294.1812351,297.1614298,300.0387616,302.825616,305.5770717,308.3591021
Vanuatu,22.67744053,23.23363413,23.80959803,24.38867925,24.97161608,25.56890894
Yemen,54.0116768,55.44633597,56.88654469,58.31867909,59.75091577,61.1475008
South Africa,46.0613013,46.51120197,46.6916791,47.26742039,47.88354945,48.47284785
Zambia,21.85693916,22.55580651,23.26915078,23.99264585,24.72521422,25.46135272
Zimbabwe,36.59024687,37.35996898,38.13131963,38.90961355,39.69137392,40.50579294
